,max_positions,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score,edge_score_stdev,simset_size,percent_winning_sims,id,sharpe_ratio
33,10.0,0.6037278284857226,1.840024706609018,0.1101665342884345,0.0461280920559386,-0.0640384422324959,0.1406640301038934,0.4512003437464309,0.1873979493799178,0.712119559299421,0.033626301198771,-0.0001275462329665,-0.0001275462329665,0.7363655835702038,4307.9203061393655,0.2596829541920002,0.1457619361488225,3665.536111111111,2516.0,1.4568903462285814,7.171898562758729,9.236585973908936,1337.4229166666669,2328.1131944444446,0.3544263251221015,0.0396251843993149,-0.0173712052214795,0.0024921344594524,0.0001780711769752,16037.278284857226,4.8724537670335,2.1062938341631474,2.529505531274938,5.812234201801668,23.45185693541973,4.525344925505952,1440.0,0.0,KAMASIGNA_ROLLISHARPRATIO_MAXPOS10_210626_0,0.324310884008101
34,15.0,0.7456806630633628,1.840024706609018,0.1101665342884345,0.05463679521582,-0.0555297390726145,0.1326128211010947,0.5633147430332598,0.2505972105260709,0.6712024360580681,0.0447334171096452,-8.805554406057576e-05,-8.805554406057576e-05,0.718279584545214,4000.2208419140266,0.2298154734297065,0.2663597062676731,4649.26875,2516.0,1.8478810612082672,8.610145018686636,13.689481198680015,1618.9388888888889,3030.329861111112,0.3350458851623454,0.0465271062550554,-0.0176877897518647,0.0033124148426703,0.0002100555452415,17456.806630633633,4.911944455939424,2.154400318914608,2.8558552510931885,5.492048335931823,26.727978726655166,4.632895714851792,1440.0,0.0,KAMASIGNA_ROLLISHARPRATIO_MAXPOS15_210626_0,0.4061076816408506
35,20.0,0.8216025558449388,1.840024706609018,0.1101665342884345,0.0593286206212181,-0.0508379136672164,0.1275259101937136,0.633985816819088,0.2882324938022745,0.6321328756483324,0.0507162876076056,-6.366061249860123e-05,-6.366061249860123e-05,0.7021684050454513,3762.3715467043294,0.2112909185388271,0.335152987941728,5432.661805555556,2516.0,2.1592455506977566,9.92785337046745,18.047491156506126,1814.2201388888889,3618.4416666666666,0.3182484884673439,0.0531728650773257,-0.0179139235178249,0.0040007348679076,0.0002277637751709,18216.02555844939,4.936339387501399,2.1963307770366614,2.9461817537644777,5.232676894669711,28.93756262119301,4.044492242476159,1440.0,0.0,KAMASIGNA_ROLLISHARPRATIO_MAXPOS20_210627_0,0.4584762532129178
36,5.0,0.9940326746170792,1.8400247066090183,0.1101665342884346,0.0648321704089507,-0.0453343638794838,0.1864527153362545,0.5114699561458812,0.2076613319427039,0.9044809557213302,0.0499396884006438,-0.0001216707271774,-0.0001216707271774,0.8874392618723943,6802.552012110573,0.3516007266962941,0.1809327344738498,1064.3285714285714,2516.0,0.4230240744946627,27.9322024984516,4.57248441525359,486.67619047619047,577.652380952381,0.4674553314911088,0.0710559757249279,-0.0425373050137009,0.0127214993945632,0.0002466475304183,19940.32674617079,4.878329272822588,1.6322582528191325,4.467389929094262,8.649384555248256,20.401011164018826,10.178378844624852,630.0,0.1476190476190476,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_0,0.357005252138771
37,10.0,1.2332496274277354,1.8400247066090183,0.1101665342884346,0.0805479516031508,-0.0296185826852837,0.1617158763521265,0.7133936365954436,0.2888053896924923,0.8001059299617324,0.0689534327696345,-4.162144654972014e-05,-4.162144654972014e-05,0.8384201752730162,5711.365307328301,0.2899528717490451,0.4261333339281734,1431.2857142857142,2516.0,0.5688734953440835,46.70003387129133,8.513464073464553,673.5492063492063,757.7365079365079,0.4921739300692442,0.0920904005063086,-0.056875549419326,0.0214259603104504,0.0003063521797671,22332.49627427736,4.95837855345028,1.5365015371063926,5.397411268555416,7.742736723226621,24.93840501204808,7.2879209967058305,630.0,0.1777777777777777,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_1,0.5010352159316379
38,15.0,1.3586697551801852,1.8400247066090183,0.1101665342884346,0.0868840676418657,-0.0232824666465688,0.148376056574432,0.8317723905750044,0.3406297179214485,0.693194469110314,0.0789213031321295,1.5221508531003058e-07,1.5221508531003058e-07,0.7940419181312048,5232.317885896849,0.2602446885086068,0.5259941714576966,1602.4412698412698,2516.0,0.6369003457238752,64.9642006983115,11.99024360690272,776.7333333333333,825.7079365079366,0.5224456042442266,0.1062054698375748,-0.0679014078204223,0.031418333684222,0.0003297073162727,23586.69755180185,5.0001522150853095,1.4619552386798904,5.685765923162127,7.042676036842504,28.60400482578744,6.676557201532568,630.0,0.1952380952380952,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,0.5828098951943458
39,20.0,1.3928985647717038,1.8400247066090183,0.1101665342884346,0.0881089953365083,-0.0220575389519262,0.1379315610582809,0.901932910081964,0.3714791097790981,0.5745222858294241,0.0815769316027441,2.2435602402123133e-05,2.2435602402123133e-05,0.7506795514469893,4906.8979501098775,0.2388257559296438,0.5650093339117228,1667.263492063492,2516.0,0.6626643450172862,81.82007345072202,15.005712475023952,837.536507936508,829.7269841269841,0.5502084420106459,0.118429776009134,-0.0770720741520878,0.0400126108545297,0.0003339938084458,23928.98564771704,5.022435602402124,1.392506435492115,5.619905334319101,6.419685981855638,31.96191988960529,8.740977046771329,630.0,0.2158730158730158,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_3,0.6300262818296014
40,5.0,0.9565375988873944,1.8400247066090183,0.1101665342884346,0.0551785266159903,-0.0549880076724442,0.0927363060595152,0.7841527184518938,0.3244352696883233,-0.9820008347915982,0.0464768422796588,3.076704116567868e-05,3.076704116567868e-05,0.4262275871137945,4281.034214346091,0.1673570894042816,0.3231192336167023,385.9603174603175,2516.0,0.1534023519317637,310.4490751148133,3.8395004804116666,183.66984126984127,202.2904761904762,0.3222296299686135,0.4485664032570885,-0.0892592472119195,0.184440067956313,0.0002076663614569,19565.375988873944,5.030767041165678,1.645740297083864,3.271649897864047,3.751403384809787,66.11236780234388,151.08400903094125,630.0,0.1888888888888888,SMARELATSTRENINDEXSIGNA_ROLLISHARPRATIO_210627_0,
41,5.0,0.7752928483227256,1.8400247066090183,0.1101665342884346,0.0512151661829511,-0.0589513681054834,0.1688323368562094,0.4192970957891109,0.1645814056146057,0.4775382515489572,0.0376383217572003,-0.0001125249249636,-0.0001125249249636,0.741280381360177,5980.900569923336,0.3496173153765503,0.0518592817433969,710.7,2516.0,0.2824721780604133,92.04175022849476,4.233350327677002,327.2746031746032,383.4253968253968,0.4807201791335093,0.1180290343755836,-0.0769843166015178,0.0213705265665586,0.0001951322975446,17752.928483227257,4.887475075036328,1.4551851056639962,3.2639436266179667,6.738626760680621,27.42902775050387,25.02252963036529,630.0,0.1,TMASTOCHOSCILSIGNA_ROLLISHARPRATIO_210627_0,0.2933535897523009
42,5.0,1.2690785296440956,1.8400247066090183,0.1101665342884346,0.0795448954935568,-0.0306216387948777,0.1689778913530131,0.6700014006637721,0.2841750492937886,0.8644417759745165,0.0661327100023601,-4.030534793116901e-05,-4.030534793116901e-05,0.8238364530700633,6440.300163967083,0.3050353611351767,0.3910350063779963,1248.684126984127,2516.0,0.496297347767936,17.36889955222718,4.729967212918858,573.6063492063493,675.0777777777778,0.4644589000432016,0.053171096973932,-0.0306681959556673,0.0087246743057092,0.0003016155248262,22690.78529644096,4.959694652068831,1.7649817882367036,5.329934732763356,7.332689899721715,27.272642204071005,11.27828359993632,630.0,0.1984126984126984,SMASTOCHRSISIGNA_ROLLISHARPRATIO_210627_0,0.4718824490781194
