,Unnamed: 0,id,signal,preference,max_positions,date,signal_n,fast_lookback,slow_lookback,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,0,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,5,0.3637194117983036,1.840024706609018,0.1101665342884345,0.0315472397273408,-0.0786192945610937,0.1566200333295571,0.2016610299745548,0.2819579136799507,0.0965490927190347,0.6557509416405178,0.0128091109918023,-0.0001698962088826,-0.0001698962088826,0.7065489405184001,4266.125279326217,0.3267481737932614,-0.0854200063353634,4494,2516,1.786168521462639,2.593902981753449,4.725172274017025,1853,2641,0.4123275478415665,0.022859237403694,-0.014320018558672,0.0010100128828643,0.0001233462538508,13637.194117983036,4.830103791117335,2.047174576374917,1.6847464077653715,5.503867152175462,20.450186708847387
1,1,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,15,0.088686299371141,1.840024706609018,0.1101665342884345,0.0085439486065452,-0.1016225856818893,0.1517956788593521,0.0563015087442772,0.0793353558584241,0.0271960042825541,0.5462243357876546,0.0017520694318919,-0.000241417585756,-0.000241417585756,0.6630853728486229,3741.616079322317,0.3141619084104242,-0.2921419577712747,3675,2516,1.4606518282988872,3.174421768707483,4.73842404549147,1522,2153,0.4141496598639456,0.0222635591157872,-0.0143801819515194,0.0007958109476481,3.378597989369034e-05,10886.86299371141,4.758582414243989,2.032065830734287,0.4102693030954907,4.873706318447072,17.49140725830782
2,2,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,25,-0.4360721561358023,1.840024706609018,0.1101665342884345,-0.0557398410305899,-0.1659063753190245,0.1475518575100985,-0.3784221064219746,-0.5088502044358972,-0.0961437943152978,0.5578892108300814,-0.0448420657647522,-0.0005047776017807,-0.0005047776017807,0.6674441323892593,7146.878547241511,0.5797549537913435,-1.439746266567317,3713,2516,1.4757551669316376,3.1168866145973606,4.735270049099836,1518,2195,0.4088338270939941,0.0203704927264601,-0.0143350296803284,-0.0001462381334647,-0.0002277649988388,5639.278438641977,4.495222398219281,1.996204340989276,-2.6942494227248464,5.31025590193445,6.320462073573107
3,3,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,35,-0.1454173570681458,1.840024706609018,0.1101665342884345,-0.0156104645595217,-0.1257769988479563,0.1480860189301472,-0.1055463289825291,-0.1448260096211835,-0.0403211277883071,0.5626578676313636,-0.0055492779488888,-0.0003402408778163,-0.0003402408778163,0.6692423909002851,5157.852103481829,0.3871534705447574,-0.6467828003153429,3723,2516,1.4797297297297298,3.0881009938221866,4.727384868421052,1544,2179,0.4147193123824872,0.0208336585860199,-0.0140140174943058,0.0004379867678544,-6.24819348488243e-05,8545.826429318542,4.659759122183607,2.0256402322198745,-0.7628655914945766,5.052173939458933,12.504215138643271
4,4,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,45,-0.1380243480505621,1.840024706609018,0.1101665342884345,-0.0147611178002438,-0.1249276520886784,0.147863277176222,-0.0999592006173498,-0.136955552022147,-0.0358563100406005,0.5386722218269256,-0.0055022191869758,-0.0003331017545672,-0.0003331017545672,0.6602933878076687,5301.181878537933,0.411674201375702,-0.6790026599514434,3724,2516,1.4801271860095389,3.075993555316864,4.715932482503088,1587,2137,0.4261546723952739,0.0203845826298513,-0.014349949158169,0.000452333856758,-5.9056960125527895e-05,8619.756519494378,4.666898245432783,1.99560109905163,-0.7120961721228629,4.968588545268436,12.707629803929622
5,5,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,55,-0.1374472898824719,1.840024706609018,0.1101665342884345,-0.0146950985251517,-0.1248616328135863,0.1499435084843712,-0.0981652027070061,-0.1341481399506547,-0.0337987361693179,0.5539273760599561,-0.0069481567446908,-0.000335186380668,-0.000335186380668,0.6659573065381623,5973.69354459989,0.4347824856981408,-0.7184036596208703,3725,2516,1.480524642289348,3.054496644295302,4.7152921674264405,1568,2157,0.4209395973154362,0.0207624532587578,-0.0143152229512342,0.0004503599473611,-5.879086233169562e-05,8625.527101175281,4.664813619331915,2.005682435173682,-0.7162883111333923,5.086919454646991,12.455446212467733
6,6,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,5,0.1807660522191803,1.840024706609018,0.1101665342884345,0.016776002484913,-0.0933905318035215,0.1566057894769794,0.1072524269476178,0.1498098443207274,0.0511472081819003,0.6521056861350709,0.000858637752629,-0.0002265303880526,-0.0002265303880526,0.704999387513557,4487.678546807836,0.3279944904373032,-0.2313253151021772,4557,2516,1.81120826709062,2.554092604783849,4.72362012987013,1878,2679,0.4121132323897301,0.0220902370914269,-0.0140705246339637,0.0008318037663618,6.606895611785635e-05,11807.660522191803,4.773469611947315,2.047579795413431,0.8926669610831779,5.483899725135238,17.37502645458867
7,7,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,15,0.0176620763968768,1.840024706609018,0.1101665342884345,0.0017544884595661,-0.1084120458288684,0.1523434391036855,0.0115184669752855,0.0162167671408922,0.0060000027616477,0.5412233632708655,0.0001420737519256,-0.0002674737589002,-0.0002674737589002,0.6612339397441835,3471.242878968371,0.2924146086700003,-0.3283890477967404,3727,2516,1.4813195548489666,3.122350415884089,4.724725943970768,1534,2193,0.4115910920311242,0.0221881163717489,-0.0143546100986943,0.00068605059507,6.961397412179213e-06,10176.62076396877,4.732526241099748,2.0321376337028543,0.0835850982967579,4.817777701985609,16.36880552910736
8,8,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,25,-0.322083314989904,1.840024706609018,0.1101665342884345,-0.0381733482176886,-0.1483398825061233,0.1486246371820567,-0.2573593036496368,-0.3459306384934932,-0.0757113352816156,0.563922634075769,-0.0223044042909933,-0.0004325225694744,-0.0004325225694744,0.6697210577929648,6251.4771983602,0.5041959447115714,-1.0903053621901329,3723,2516,1.4797297297297298,3.104217029277464,4.732596232596233,1535,2188,0.4123019070641955,0.0206317752948929,-0.014293341930454,0.0001063505059971,-0.0001545649630451,6779.166850100959,4.567477430525538,2.004269032794124,-1.8632879673794616,5.234622346027493,8.608206647271087
9,9,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,35,-0.2782761303461226,1.840024706609018,0.1101665342884345,-0.0321241888845582,-0.1422907231729928,0.147861362391994,-0.2174827854286173,-0.2980274264433701,-0.0682106644334644,0.5532511073860888,-0.0191950232624365,-0.0004059575471524,-0.0004059575471524,0.6657042316712711,6075.000800808991,0.4709555192193374,-0.962795431252891,3780,2516,1.5023847376788553,3.0365079365079364,4.717632552404439,1547,2233,0.4092592592592592,0.0208160721224038,-0.0140904630607776,0.0001953596715984,-0.0001296670637159,7217.238696538774,4.594042452847512,2.0205482524502463,-1.5459932410730293,5.127982487628375,9.800342944520056
10,10,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,45,-0.1609281440371429,1.840024706609018,0.1101665342884345,-0.0174141274030676,-0.1275806616915022,0.1475801135803437,-0.1181611498300895,-0.161399620273198,-0.045322307357429,0.5306898662722324,-0.0059800086363378,-0.0003425952340574,-0.0003425952340574,0.6573670240774563,4910.665263848111,0.3842286154085939,-0.6603384446553004,3772,2516,1.4992050874403815,3.034729586426299,4.718466611706512,1583,2189,0.4196712619300106,0.0207227551540963,-0.0142965820330703,0.0004000273962204,-6.976498266848728e-05,8390.71855962857,4.657404765942527,2.005983054561191,-0.8274854882718503,4.888359070472695,12.57992007809935
11,11,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,55,-0.2070173153517139,1.840024706609018,0.1101665342884345,-0.022956400477923,-0.1331229347663576,0.1480045088886662,-0.1553838272519887,-0.2110628272480878,-0.0528891411878655,0.5495277956641067,-0.0123868667883052,-0.0003679416967844,-0.0003679416967844,0.664314048172,5811.791865505822,0.4340475183058931,-0.8011990517411363,3798,2516,1.509538950715421,2.992890995260664,4.716597510373444,1585,2213,0.4173249078462349,0.0206147633629953,-0.0141866394945905,0.0003368527458711,-9.222818800546604e-05,7929.82684648286,4.632058303215539,2.010419288393785,-1.1097728932472986,5.055541443798784,11.2547231809095
12,12,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,50,5,0.1845427908981991,1.840024706609018,0.1101665342884345,0.0171011568286187,-0.0930653774598158,0.1546763838768941,0.1106966590882321,0.1540949769121655,0.0559427441254423,0.6324779182559217,0.0025133125508874,-0.0002218541822573,-0.0002218541822573,0.6967917731416727,3686.807042446444,0.3056903463704294,-0.1954803615312172,4567,2516,1.8151828298887125,2.546748412524633,4.71654501216545,1886,2681,0.4129625574775564,0.0218420336000044,-0.0139270341193441,0.0008442515646259,6.73387155744408e-05,11845.427908981992,4.77814581774265,2.051575791736874,0.8939120765252023,5.328018524805696,17.934382151423527
