,signal_n,preference_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
0,5,10,0.1330620360421173,1.840024706609018,0.012586332908494091,0.13321908804057955,0.09456408770244433,0.11016653428843459,-0.0975802013799405,-0.00023397248496417818,4296.0689840529085,0.2942540567717049,-0.22357622570087976,8116,2516,3.2257551669316373,3.1493346476096598,10.27331189710611,3466,4650,0.4270576638738295,0.020913056214066566,-0.014228376459976176,0.0007790416829799753,11330.620360421173,11330.620360421173
1,5,15,0.41701396119643674,1.840024706609018,0.03551426429459448,0.13422453518319818,0.264844471805984,0.11016653428843459,-0.07465226999384011,-0.00014602912568021365,3372.826318971176,0.227413793001229,0.09054013168786845,8141,2516,3.235691573926868,3.130327969536912,10.251005631536605,3519,4622,0.4322564795479671,0.021292062519039246,-0.014291435879812808,0.0010897618680757062,14170.139611964367,14170.139611964367
2,5,20,0.3606078504834267,1.840024706609018,0.03131134180004036,0.13311537136570775,0.2355140137303805,0.11016653428843459,-0.07885519248839423,-0.00015953688592518477,4044.442692313425,0.24140622408665435,0.03164269431830746,8110,2516,3.2233704292527823,3.127620221948212,10.236077481840194,3547,4563,0.4373612823674476,0.02092477393664128,-0.01442474811163973,0.0010357641824728127,13606.078504834268,13606.078504834268
3,5,25,-0.07929927749497379,1.840024706609018,-0.00823809540749687,0.133243167556355,-0.061932661598040055,0.11016653428843459,-0.11840462969593146,-0.00031284448466565494,3460.5864926884897,0.28765829687520306,-0.4218178065300684,8164,2516,3.24483306836248,3.096766291033807,10.219078415521423,3560,4604,0.4360607545320921,0.019829778058923567,-0.014448988510306586,0.0004986363043013681,9207.007225050262,9207.007225050262
4,5,30,0.1821816192644865,1.840024706609018,0.016897983746096745,0.1347659197685059,0.12552974127868963,0.11016653428843459,-0.09326855054233785,-0.00021569578957449895,3160.54817813905,0.24050785826911514,-0.10774374225423422,8177,2516,3.25,3.0797358444417267,10.212084347120843,3553,4624,0.43451143451143454,0.02061411063646052,-0.014362597763608797,0.0008351819777934626,11821.816192644865,11821.816192644865
5,5,35,0.1800788669553237,1.840024706609018,0.01671673937857321,0.13192166206157113,0.12683593644248983,0.11016653428843459,-0.09344979490986138,-0.00021162005447139458,3221.75979400864,0.24286911073370598,-0.11263786260465025,8202,2516,3.2599364069952306,3.0669348939283103,10.22145469321414,3572,4630,0.4355035357229944,0.020604025432181938,-0.01442146681235664,0.0008322589005782281,11800.788669553238,11800.788669553238
6,5,40,0.2891251218683708,1.840024706609018,0.025753748352502326,0.1331547023950166,0.19352806138126513,0.11016653428843459,-0.08441278593593227,-0.00017910785215841097,3734.4557630471554,0.2661230375413004,-0.05545010230668801,8186,2516,3.253577106518283,3.0636452479843634,10.207163207163207,3581,4605,0.43745419008062547,0.02056545966301382,-0.014306531896387233,0.0009483669277289628,12891.251218683708,12891.251218683708
7,5,45,0.2068599912280602,1.840024706609018,0.019003702096112907,0.1319752924831903,0.1440972396448525,0.11016653428843459,-0.09116283219232169,-0.0002008640726445666,3823.326409150124,0.27829336096594515,-0.13811460172419565,8154,2516,3.240858505564388,3.0707628157959284,10.207501019160212,3600,4554,0.44150110375275936,0.019897670498834095,-0.014197153762735242,0.00085574878100398,12068.599912280602,12068.599912280602
8,5,50,0.17537751625186804,1.840024706609018,0.01631045816878629,0.13139563704838084,0.12424710324262275,0.11016653428843459,-0.0938560761196483,-0.00021107506022533255,3227.138528991236,0.2576021278673788,-0.13628057729440002,8180,2516,3.2511923688394275,3.0531784841075793,10.198040016333197,3617,4563,0.4421760391198044,0.019888631330432973,-0.014297216669726167,0.0008189461929358875,11753.77516251868,11753.77516251868
9,5,55,-0.039636832369089325,1.840024706609018,-0.004041177970078524,0.13287941288789815,-0.03045317858979237,0.11016653428843459,-0.11420771225851312,-0.0002944278021905052,3989.3381480388252,0.31505717617640827,-0.4188636795162832,8190,2516,3.25516693163752,3.0388278388278387,10.191646191646191,3608,4582,0.4405372405372405,0.0197685282023308,-0.014584676698386824,0.0005491893921857249,9603.631676309107,9603.631676309107
10,5,60,0.05964544234953473,1.840024706609018,0.0058174388474065974,0.13194527076229656,0.04413681720219257,0.11016653428843459,-0.104349095441028,-0.0002541104970875596,3211.7391167727983,0.259022477502454,-0.24185062433677018,8163,2516,3.244435612082671,3.042386377557271,10.186628383921247,3608,4555,0.44199436481685656,0.01993670073989732,-0.014589525822262694,0.0006708717566021028,10596.454423495346,10596.454423495346
