,id,signal,preference,max_positions,date,signal_n,fast_lookback,slow_lookback,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,5,0.3637194117983036,1.840024706609018,0.11016653428843459,0.03154723972734086,-0.07861929456109373,0.1566200333295571,0.20166102997455485,0.2819579136799507,0.09654909271903471,0.6557509416405178,0.012809110991802368,-0.000169896208882666,-0.000169896208882666,0.7065489405184001,4266.125279326217,0.3267481737932614,-0.0854200063353634,4494,2516,1.786168521462639,2.593902981753449,4.725172274017025,1853,2641,0.41232754784156656,0.022859237403694003,-0.014320018558672026,0.0010100128828643012,0.00012334625385082063,13637.194117983036,4.830103791117335,2.047174576374917,1.6847464077653715,5.503867152175462,20.450186708847387
1,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,15,0.08868629937114103,1.840024706609018,0.11016653428843459,0.008543948606545282,-0.10162258568188931,0.15179567885935213,0.05630150874427721,0.07933535585842413,0.02719600428255415,0.5462243357876546,0.0017520694318919978,-0.00024141758575601093,-0.00024141758575601093,0.6630853728486229,3741.616079322317,0.31416190841042424,-0.2921419577712747,3675,2516,1.4606518282988872,3.174421768707483,4.73842404549147,1522,2153,0.4141496598639456,0.022263559115787274,-0.014380181951519489,0.0007958109476481018,3.378597989369034e-05,10886.86299371141,4.758582414243989,2.032065830734287,0.4102693030954907,4.873706318447072,17.49140725830782
2,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,25,-0.4360721561358023,1.840024706609018,0.11016653428843459,-0.05573984103058993,-0.16590637531902452,0.14755185751009856,-0.37842210642197466,-0.5088502044358972,-0.09614379431529785,0.5578892108300814,-0.0448420657647522,-0.0005047776017807199,-0.0005047776017807199,0.6674441323892593,7146.878547241511,0.5797549537913435,-1.439746266567317,3713,2516,1.4757551669316376,3.1168866145973606,4.735270049099836,1518,2195,0.4088338270939941,0.0203704927264601,-0.014335029680328468,-0.00014623813346473336,-0.00022776499883882267,5639.278438641977,4.495222398219281,1.9962043409892756,-2.6942494227248464,5.31025590193445,6.320462073573107
3,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,35,-0.14541735706814585,1.840024706609018,0.11016653428843459,-0.015610464559521753,-0.12577699884795634,0.14808601893014722,-0.1055463289825291,-0.14482600962118358,-0.0403211277883071,0.5626578676313636,-0.0055492779488888425,-0.00034024087781639293,-0.00034024087781639293,0.6692423909002851,5157.852103481829,0.38715347054475746,-0.6467828003153429,3723,2516,1.4797297297297298,3.0881009938221866,4.727384868421052,1544,2179,0.4147193123824872,0.020833658586019956,-0.014014017494305895,0.0004379867678544898,-6.24819348488243e-05,8545.826429318542,4.659759122183607,2.0256402322198745,-0.7628655914945766,5.052173939458933,12.504215138643273
4,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,45,-0.13802434805056218,1.840024706609018,0.11016653428843459,-0.014761117800243806,-0.1249276520886784,0.14786327717622208,-0.09995920061734984,-0.13695555202214704,-0.035856310040600574,0.5386722218269256,-0.005502219186975856,-0.00033310175456721663,-0.00033310175456721663,0.6602933878076687,5301.181878537933,0.411674201375702,-0.6790026599514434,3724,2516,1.4801271860095389,3.0759935553168636,4.715932482503088,1587,2137,0.4261546723952739,0.020384582629851353,-0.014349949158169027,0.00045233385675802446,-5.9056960125527895e-05,8619.756519494378,4.666898245432783,1.99560109905163,-0.7120961721228629,4.968588545268436,12.707629803929622
5,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,30,55,-0.1374472898824719,1.840024706609018,0.11016653428843459,-0.014695098525151717,-0.12486163281358631,0.14994350848437127,-0.09816520270700616,-0.13414813995065475,-0.03379873616931795,0.5539273760599561,-0.006948156744690881,-0.0003351863806680854,-0.0003351863806680854,0.6659573065381623,5973.69354459989,0.4347824856981408,-0.7184036596208703,3725,2516,1.480524642289348,3.054496644295302,4.7152921674264405,1568,2157,0.42093959731543623,0.020762453258757897,-0.014315222951234236,0.00045035994736111116,-5.879086233169562e-05,8625.527101175281,4.664813619331915,2.005682435173682,-0.7162883111333923,5.086919454646991,12.455446212467733
6,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,5,0.1807660522191803,1.840024706609018,0.11016653428843459,0.016776002484913066,-0.09339053180352153,0.1566057894769794,0.1072524269476178,0.1498098443207274,0.051147208181900335,0.6521056861350709,0.0008586377526290902,-0.00022653038805268565,-0.00022653038805268565,0.704999387513557,4487.678546807836,0.3279944904373032,-0.23132531510217724,4557,2516,1.81120826709062,2.554092604783849,4.72362012987013,1878,2679,0.4121132323897301,0.022090237091426913,-0.014070524633963782,0.0008318037663618111,6.606895611785635e-05,11807.660522191803,4.773469611947315,2.047579795413431,0.8926669610831779,5.483899725135238,17.37502645458867
7,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,15,0.01766207639687689,1.840024706609018,0.11016653428843459,0.0017544884595661614,-0.10841204582886843,0.15234343910368553,0.011518466975285531,0.01621676714089225,0.006000002761647795,0.5412233632708655,0.00014207375192568756,-0.00026747375890025265,-0.00026747375890025265,0.6612339397441835,3471.242878968371,0.29241460867000035,-0.3283890477967404,3727,2516,1.4813195548489666,3.122350415884089,4.724725943970768,1534,2193,0.4115910920311242,0.022188116371748914,-0.014354610098694315,0.0006860505950700843,6.961397412179213e-06,10176.62076396877,4.732526241099748,2.0321376337028543,0.08358509829675795,4.817777701985609,16.36880552910736
8,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,25,-0.32208331498990406,1.840024706609018,0.11016653428843459,-0.038173348217688696,-0.1483398825061233,0.14862463718205676,-0.25735930364963683,-0.3459306384934932,-0.0757113352816156,0.563922634075769,-0.022304404290993396,-0.000432522569474462,-0.000432522569474462,0.6697210577929648,6251.4771983602,0.5041959447115714,-1.0903053621901329,3723,2516,1.4797297297297298,3.1042170292774642,4.732596232596233,1535,2188,0.41230190706419556,0.02063177529489292,-0.014293341930454005,0.00010635050599711856,-0.00015456496304511625,6779.166850100959,4.567477430525538,2.004269032794124,-1.8632879673794616,5.234622346027493,8.608206647271087
9,KAMASIGNA_ROLLISHARPRATIO_MAXPOS5_210624_0,KAMASIGNA,ROLLISHARPRATIO,5,210624,5,5,40,35,-0.27827613034612264,1.840024706609018,0.11016653428843459,-0.03212418888455826,-0.14229072317299285,0.147861362391994,-0.2174827854286173,-0.2980274264433701,-0.06821066443346448,0.5532511073860888,-0.01919502326243659,-0.00040595754715248736,-0.00040595754715248736,0.6657042316712711,6075.000800808991,0.4709555192193374,-0.962795431252891,3780,2516,1.5023847376788553,3.0365079365079364,4.717632552404439,1547,2233,0.40925925925925927,0.020816072122403877,-0.01409046306077764,0.0001953596715984997,-0.00012966706371597114,7217.238696538774,4.594042452847512,2.0205482524502463,-1.5459932410730293,5.127982487628375,9.800342944520056
