,id,signal,preference,max_positions,date,signal_n,upper_bound,lower_bound,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,10,5,1.797631457232065,1.840024706609018,0.11016653428843459,0.10849608657547694,-0.0016704477129576567,0.14446493650035247,0.7513067734351945,1.0800696295415064,0.3654925663775362,0.8547674413308125,0.08852303674368185,7.312726516851001e-05,7.312726516851001e-05,0.8093962042875193,7444.845634666646,0.29684895550900403,0.6765895978460801,4188,2516,1.6645468998410176,6.820200573065903,11.545270816491511,2357,1831,0.5627984718242598,0.03467578192754629,-0.034327886015730426,0.0045072728530143776,0.0004090549308419783,27976.31457232065,5.07312726516851,1.4687321441126184,7.690017702005887,6.98006481022848,35.31616649597722
1,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,10,15,1.304015869967218,1.840024706609018,0.11016653428843459,0.08715948966613607,-0.023007044622298523,0.1435950541065566,0.6076878237565034,0.8662093774305822,0.33154447758100264,0.84640827042635,0.04343051322768324,-1.8127093138178211e-06,-1.8127093138178211e-06,0.8039876820989451,7157.342557841301,0.2628892820114651,0.5296364606762385,4822,2516,1.9165341812400636,5.934259643301535,11.552280985062575,2595,2227,0.5381584404811282,0.0331467869633076,-0.031266884456480515,0.0033978765004564703,0.00033187023094096617,23040.15869967218,4.9981872906861815,1.5302722195570597,6.033906396570817,6.841457936413046,29.029258267277374
2,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,10,25,2.1352943834004887,1.840024706609018,0.11016653428843459,0.12121539169762596,0.01104885740919137,0.14277191125144204,0.8486440617143861,1.2387805310392426,0.578171577747429,0.8305149322831815,0.10010872938481742,0.00012478561069866886,0.00012478561069866886,0.7940957414666884,6297.691466693759,0.2096529756268618,0.9074399132633744,4458,2516,1.7718600953895072,6.4042171377299235,11.596263200649878,2553,1905,0.572678331090175,0.03264053500715202,-0.03283949698827698,0.004659498454596559,0.0004543630504482959,31352.943834004887,5.124785610698669,1.480964276032104,8.50443105236357,6.605206026453287,41.67411257832018
3,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,10,35,1.7341744182775392,1.840024706609018,0.11016653428843459,0.10595258070658642,-0.004213953581848173,0.14216160669234054,0.7455252008758897,1.0776301527098846,0.48032916425787436,0.8365957371609083,0.0816608042591977,6.880773750929766e-05,6.880773750929766e-05,0.7978232409243252,5713.179137582014,0.22058327620036755,0.7566201032384541,4303,2516,1.710254372019078,6.583313966999768,11.54360228198859,2472,1831,0.574482918893795,0.031883390878458706,-0.03291077624955488,0.004312366009438749,0.0003999322195911843,27341.744182775394,5.068807737509298,1.4688882516944592,7.475371259448872,6.678803967130984,35.888303848165144
4,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,10,45,1.9168188760904075,1.840024706609018,0.11016653428843459,0.11313617093363493,0.0029696366452003353,0.1413988647645959,0.8001116551309739,1.1655747163453316,0.5795622628668559,0.8298144749128542,0.08787671310278772,9.624253981871042e-05,9.624253981871042e-05,0.7936707110330548,6092.645411449812,0.19520969218043438,0.8533200737509894,4207,2516,1.6720985691573926,6.731400047539815,11.535234215885946,2444,1763,0.580936534347516,0.03205468732756457,-0.03349592182379282,0.004584821880965314,0.0004256435771085107,29168.188760904075,5.096242539818711,1.4559076764158145,7.980348366423962,6.575156264170744,38.87803185730768
5,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,10,55,1.777527606992665,1.840024706609018,0.11016653428843459,0.10769594539014204,-0.0024705888982925472,0.14165004373225787,0.7603102929398733,1.1032796497358692,0.44846189625998895,0.8280568588969531,0.07575743623481809,7.722736883292294e-05,7.722736883292294e-05,0.7926080114220992,6378.550412824301,0.24014514117762853,0.7469333428199878,4146,2516,1.6478537360890302,6.797153883260974,11.58281956432388,2419,1727,0.5834539315002412,0.03189323821716022,-0.03370795752015493,0.00456731804389846,0.0004061873487051948,27775.27606992665,5.077227368832922,1.448233740841448,7.600699450010622,6.622440295203949,36.62724721035787
6,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,10,65,1.3481757707821709,1.840024706609018,0.11016653428843459,0.08922798725714975,-0.020938547031284838,0.13970463800284774,0.6386902421903174,0.9192262064779179,0.3412576511046901,0.8098862662183764,0.05860285229916259,1.4892901756598882e-05,1.4892901756598882e-05,0.7819248325405806,6306.557289055567,0.2614680930033614,0.5505477861489698,4090,2516,1.6255961844197138,6.895843520782396,11.625721352019786,2375,1715,0.5806845965770171,0.031451465607295365,-0.03418322818104333,0.003929827502894175,0.00033941898964293083,23481.75770782171,5.014892901756599,1.4300147398726188,6.203891961283557,6.479347490259446,30.591508419111324
7,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,20,5,1.4270185941131874,1.840024706609018,0.11016653428843459,0.09283554236046654,-0.017330991927968054,0.1506587659530252,0.6170035037798959,0.8687843760179587,0.4644699963631293,0.9346964331503436,0.07292402065220652,-9.43877504813945e-06,-9.43877504813945e-06,0.8721891027704964,4389.9380326048995,0.19987414275923732,0.6636773459350174,6446,2516,2.5620031796502385,5.062364256903506,13.058023209283714,3392,3054,0.52621780949426,0.030211834583417318,-0.027564478227399446,0.0028384465405637037,0.0003525501344222723,24270.185941131873,4.99056122495186,1.5994775460507829,6.7812383029021,7.908266226856291,28.340408309700234
8,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,20,15,2.377729469610496,1.840024706609018,0.11016653428843459,0.12960783227916095,0.01944129799072636,0.15194817419076595,0.8539097200658463,1.2193554985355253,0.6369833805036442,0.9414917328748863,0.11667271589818697,0.00011915304809502226,0.00011915304809502226,0.8790214641545905,6078.442304746608,0.2034712933588374,0.9897116199128853,7008,2516,2.7853736089030208,4.653966894977169,13.108922829581994,3612,3396,0.5154109589041096,0.029742144782263776,-0.024716841347821032,0.0033519169144315846,0.00048397762592987436,33777.29469610496,5.119153048095022,1.6873863435193368,9.44129998615751,8.035958259705891,40.029118031461564
9,STOCHOSCILSIGNA_ROLLISHARPRATIO_210627_2,STOCHOSCILSIGNA,ROLLISHARPRATIO,15,210627,5,70,20,25,2.5306728600494295,1.840024706609018,0.11016653428843459,0.13462756181162194,0.02446102752318735,0.15149290660895603,0.8890602851822428,1.283660869742693,0.5831868447314457,0.935092204570201,0.1268768556509148,0.0001394360114929896,0.0001394360114929896,0.8725769007443106,8648.320286774873,0.230848077297795,0.9990216944849237,6152,2516,2.4451510333863276,5.276983094928479,13.085046352277308,3383,2769,0.5499024707412223,0.02948143131815718,-0.027476787540538256,0.003844677738877651,0.0005015858706533137,35306.728600494294,5.13943601149299,1.5916166533279485,9.996060622020906,7.963622939274783,42.138593097607504
