,id,signal,preference,max_positions,date,signal_n1,signal_n2,preference_n,percent_return,spy_percent_return,spy_cagr,cagr,excess_cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,r_squared,pure_profit_score,jensens_alpha,alpha,beta,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_return_per_trade,average_return_per_day,final_equity,A_score,W_score,P_score,V_score,edge_score
0,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,5,1.305653173,1.840024707,0.110166534,0.087236817,-0.022929717,0.156878615,0.556891578,0.784126927,0.276014484,0.754564126,0.070375064,2.00E-05,2.00E-05,0.75221872,5696.44301,0.316058838,0.455480623,3016,2516,1.19872814,3.933355438,4.787328491,1411,1605,0.467838196,0.024577413,-0.017811112,0.002019859,0.000332153,23056.53173,5.019955673,1.889154094,5.33192439,6.154158752,32.44346271
1,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,10,1.44770434,1.840024707,0.110166534,0.09376457,-0.016401964,0.157034988,0.597582715,0.853379497,0.335039081,0.72419947,0.086837056,4.99E-05,4.99E-05,0.73733812,5251.463299,0.27986159,0.566838732,1854,2516,0.736883943,6.453613808,4.830440048,873,981,0.470873786,0.03066292,-0.021202094,0.003219782,0.000355925,24477.0434,5.049903638,1.833856016,5.602776497,5.876155646,34.89928521
2,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,15,2.874820049,1.840024707,0.110166534,0.145243189,0.035076655,0.168050878,0.863217158,1.277725828,0.556611372,0.855597008,0.128837129,0.000202414,0.000202414,0.80994127,4519.368678,0.260941829,1.052120578,1410,2516,0.560413355,8.546808511,4.867124394,653,757,0.463120567,0.038326779,-0.022247539,0.005805674,0.000538568,38748.20049,5.202414393,1.888938369,9.576737322,6.998563638,49.20485443
3,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,20,1.142911553,1.840024707,0.110166534,0.07929771,-0.030868824,0.156384867,0.50766135,0.713309413,0.334074628,0.767402354,0.072528296,-1.19E-05,-1.19E-05,0.75878623,3440.856713,0.237365259,0.491189367,1297,2516,0.515500795,9.276792598,4.861414141,566,731,0.436391673,0.038721021,-0.022737128,0.004082697,0.000303048,21429.11553,4.988125129,1.874475593,4.772905502,6.128768773,29.78079537
4,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,25,2.007578418,1.840024707,0.110166534,0.116556455,0.006389921,0.159823138,0.729147216,1.059699744,0.570560282,0.790244751,0.10736919,0.000117862,0.000117862,0.770936442,5926.361304,0.204284207,0.872622042,1208,2516,0.480127186,9.889900662,4.829021827,546,662,0.451986755,0.040869294,-0.023264307,0.005723231,0.000437827,30075.78418,5.117861612,1.878016904,7.239505021,6.269923401,41.41066121
5,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,30,1.456102923,1.840024707,0.110166534,0.094139747,-0.016026787,0.156129235,0.603348342,0.859556295,0.398722068,0.763016022,0.080457011,4.33E-05,4.33E-05,0.756522413,4086.147928,0.23610368,0.629252711,1270,2516,0.504769475,9.333070866,4.785224061,567,703,0.446456693,0.03675892,-0.021384027,0.004574281,0.000357287,24561.02923,5.043303449,1.905183742,5.692972795,6.091888477,34.73550846
6,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,35,3.524791998,1.840024707,0.110166534,0.163163414,0.05299688,0.157442024,1.036099237,1.517882549,0.939101986,0.758920651,0.156100631,0.000287114,0.000287114,0.754427484,7050.74121,0.173744084,1.318720881,1308,2516,0.519872814,9.066513761,4.803159174,615,693,0.470183486,0.038246559,-0.020816583,0.006953931,0.000600227,45247.91998,5.287113551,1.945773481,10.02724136,5.965154495,61.83690083
7,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,40,1.971160358,1.840024707,0.110166534,0.115195343,0.005028809,0.15608087,0.738754483,1.050265369,0.454031128,0.732360229,0.109093297,0.000125337,0.000125337,0.741253251,5556.690542,0.253716839,0.796302391,1310,2516,0.520667727,8.987022901,4.776064909,617,693,0.470992366,0.036395621,-0.022230214,0.005382107,0.000432983,29711.60358,5.125337167,1.86716185,6.931030741,5.890567273,42.3296993
8,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,45,1.657867433,1.840024707,0.110166534,0.102822708,-0.007343826,0.158186795,0.650217052,0.929189835,0.410636514,0.75262843,0.093280697,7.69E-05,7.69E-05,0.751243508,4639.843649,0.250398356,0.68931073,1294,2516,0.514308426,9.052550232,4.783176807,603,691,0.465996909,0.037896561,-0.023231045,0.00525423,0.000388678,26578.67433,5.076885301,1.846462294,6.26511787,6.039765217,37.42679468
9,MACDSIGNA_ROLLISHARPRATIO_MAXPOS5_210615_0,MACDSIGNA,ROLLISHARPRATIO,5,210615,5,30,50,0.535425222,1.840024707,0.110166534,0.043868613,-0.066297922,0.154052982,0.285118081,0.395278019,0.165926104,0.71836323,0.024911199,-0.000134374,-0.000134374,0.734573673,3384.951035,0.264386444,0.121757002,1281,2516,0.509141494,9.073380172,4.751839738,574,707,0.448087432,0.035434925,-0.023975282,0.002645685,0.0001705,15354.25222,4.86562624,1.789904062,2.558528618,5.803280007,20.86530396
