,moveaverage_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
0,5,10,-0.8288768766731581,1.840024706609018,-0.16201490422899834,0.1556165252751721,-1.0428597008561749,0.11016653428843459,-0.2721814385174329,-0.0010024572520131085,9096.577835303844,0.843425732898351,-3.619596793508882,4934,2516,1.9610492845786964,2.4098094852047023,4.8021001615508885,2093,2841,42.41994325091204,0.01822945621568401,-0.013619278551327222,-0.00010906333702756354,1711.2312332684187,1711.2312332684187
1,5,20,-0.6024853913247239,1.840024706609018,-0.08822876351352915,0.15498858730431936,-0.5703660396930573,0.11016653428843459,-0.19839529780196374,-0.0006618904491619562,8423.414974247687,0.6964611944387515,-2.1147694106658648,4709,2516,1.8716216216216217,2.513484816309195,4.801622718052738,2037,2672,43.25759184540242,0.019004823377607078,-0.013794203218826113,0.00039386583552394265,3975.146086752761,3975.146086752761
2,5,30,-0.5803549398786674,1.840024706609018,-0.0832694761614391,0.1551377115797649,-0.5378875032640623,0.11016653428843459,-0.19343601044987369,-0.0006481162409180886,8594.020918470427,0.681165174168155,-2.011428117604426,4749,2516,1.8875198728139904,2.4790482206780373,4.795519348268839,2057,2692,43.31438197515266,0.018744486753368674,-0.013730363848567505,0.0003359169870152952,4196.450601213327,4196.450601213327
3,5,40,-0.4031396361494024,1.840024706609018,-0.05035862830883464,0.15530184849899356,-0.3246008362665343,0.11016653428843459,-0.16052516259726923,-0.0005058320215801467,8276.026137413595,0.6011312992065507,-1.4351950762862486,4691,2516,1.8644674085850557,2.498827542101897,4.790355537392726,2073,2618,44.191004050309104,0.018870711520770515,-0.013845713106212194,0.0006120034258140599,5968.603638505976,5968.603638505976
4,5,50,-0.30071028017063006,1.840024706609018,-0.035179434544605925,0.15301071444344602,-0.23033456106758268,0.11016653428843459,-0.14534596883304052,-0.0004401597428034883,6590.430211166769,0.49688630304063086,-1.0446292417715597,4692,2516,1.864864864864865,2.490622335890878,4.79524004924087,2105,2587,44.86359761295823,0.018491817163627515,-0.013664017614023067,0.0007622467097097681,6992.897198293699,6992.897198293699
5,5,60,-0.44495953733954663,1.840024706609018,-0.057240482305198515,0.15162006413442727,-0.37827591922828985,0.11016653428843459,-0.1674070165936331,-0.0005264440165012132,8731.352280562556,0.6161086945852974,-1.5461100874776808,4631,2516,1.8406200317965025,2.513064133016627,4.80313660751135,2065,2566,44.59080112286763,0.01832996963558741,-0.01377791723698654,0.0005392467431182348,5550.404626604533,5550.404626604533
6,5,70,-0.6394306791990009,1.840024706609018,-0.09709048561165301,0.15314121539242975,-0.6351562730306366,0.11016653428843459,-0.2072570199000876,-0.0006962622298915565,8740.597700565582,0.7165276602433293,-2.2807117776026686,4679,2516,1.859697933227345,2.4729643086129514,4.787339677285892,2056,2623,43.941013036973715,0.018347612853979456,-0.013893386388241702,0.00027363529203329294,3605.6932080099914,3605.6932080099914
7,5,80,-0.5379084499322151,1.840024706609018,-0.07438273825550823,0.15406840526092716,-0.48385464905283226,0.11016653428843459,-0.18454927254394282,-0.0006015891280804802,8420.401901148502,0.6465161455605604,-1.8119097153388974,4658,2516,1.8513513513513513,2.473808501502791,4.793261231281198,2042,2616,43.838557320738516,0.01829636885496394,-0.013536102090191836,0.0004187939317077111,4620.915500677849,4620.915500677849
8,5,90,-0.7045207011600674,1.840024706609018,-0.11491008414460047,0.15160921961070173,-0.7600974607998506,0.11016653428843459,-0.22507661843303506,-0.0007719605743241741,9984.881793429395,0.7722788272797297,-2.6987898243553294,4676,2516,1.8585055643879174,2.456159110350727,4.789407839866556,2055,2621,43.94781864841745,0.017828918772975676,-0.013758669689628343,0.00012338640332530427,2954.792988399327,2954.792988399327
9,10,10,-0.08828197671680249,1.840024706609018,-0.009211168091436184,0.16090461929985697,-0.0573041927833532,0.11016653428843459,-0.11937770237987078,-0.00035317606470361754,4977.482706040713,0.3625688279155286,-0.5427334948477611,3671,2516,1.4590620031796502,3.238082266412422,4.783501006036217,1557,2114,42.413511304821576,0.02170455316912677,-0.014150678670935165,0.001056784138919487,9117.180232831975,9117.180232831975
10,10,20,-0.45083463548300606,1.840024706609018,-0.05824441400093461,0.14958292628817363,-0.3898230310769316,0.11016653428843459,-0.1684109482893692,-0.000527797781673946,7557.699476734919,0.5932468658528642,-1.4989044999863435,3805,2516,1.5123211446740858,3.0961892247043363,4.767705382436261,1582,2223,41.57687253613666,0.021208010402995067,-0.014330133157489988,0.0004455154923621437,5491.653645169939,5491.653645169939
11,10,30,-0.2025486006853524,1.840024706609018,-0.022406518342280246,0.15216600918765277,-0.14741999041089734,0.11016653428843459,-0.13257305263071484,-0.00039107774770048495,6737.304724338054,0.46467331168782644,-0.8512124735653881,3651,2516,1.4511128775834659,3.2092577376061353,4.774653626731866,1536,2115,42.07066557107642,0.021564276345772165,-0.01428628965313108,0.0007962820736055357,7974.5139931464755,7974.5139931464755
12,10,40,-0.14254471939798863,1.840024706609018,-0.015279658680088626,0.151485587605758,-0.10088925102108966,0.11016653428843459,-0.12544619296852322,-0.0003621831415237612,6034.467758310626,0.434826098597221,-0.7244080573033287,3603,2516,1.4320349761526232,3.2398001665278935,4.762545899632803,1538,2065,42.686650013877326,0.021794525524088556,-0.01460754588288524,0.0009312789364113743,8574.552806020114,8574.552806020114
13,10,50,-0.31470680421052144,1.840024706609018,-0.037130574663383875,0.14940499502921636,-0.24897222876064526,0.11016653428843459,-0.14729710895181847,-0.0004458287826124217,5526.820413671672,0.47619483042335264,-1.0245439868313166,3585,2516,1.4248807631160572,3.233751743375174,4.7512295081967215,1516,2069,42.28730822873082,0.021710807819542374,-0.014642822349966037,0.0007301492921468634,6852.931957894785,6852.931957894785
14,10,60,-0.4393709042491397,1.840024706609018,-0.0562943370859641,0.15399203837919637,-0.3662853163547791,0.11016653428843459,-0.1664608713743987,-0.0005313513909646526,8428.716850147644,0.6275586160364389,-1.5663713525403633,3546,2516,1.4093799682034975,3.2566271855611957,4.756177924217463,1494,2052,42.13197969543147,0.02137771583453475,-0.014773195889758147,0.00045789889763429126,5606.290957508602,5606.290957508602
15,10,70,-0.5094383568575535,1.840024706609018,-0.06882522170032312,0.152930082268781,-0.4509530581512197,0.11016653428843459,-0.17899175598875772,-0.0005816725423584355,7875.067512778963,0.618339131079801,-1.6754271761597774,3490,2516,1.3871224165341813,3.297134670487106,4.75103220478943,1470,2020,42.12034383954155,0.021603930905470106,-0.015246252947488591,0.00027517119688082935,4905.616431424465,4905.616431424465
16,10,80,-0.39662495748031346,1.840024706609018,-0.04932588618889999,0.1495261102458019,-0.33060597518950907,0.11016653428843459,-0.15949242047733458,-0.0004935527652721569,7292.5259168054945,0.5507461795952822,-1.3053835639248277,3446,2516,1.3696343402225755,3.329077190946024,4.756218905472637,1454,1992,42.193847939640165,0.021718758653167514,-0.01499115916056827,0.0004981677405262849,6033.750425196866,6033.750425196866
17,10,90,-0.7115983243677124,1.840024706609018,-0.11705598752094681,0.14821565456002253,-0.7917348951939709,0.11016653428843459,-0.2272225218093814,-0.0007820481931989434,8404.2498567531,0.7449373370830705,-2.6096470905730866,3593,2516,1.428060413354531,3.179237406067353,4.745741587037807,1513,2080,42.109657667687166,0.0199647650854498,-0.01494275298813762,-0.00024331662706393044,2884.016756322875,2884.016756322875
18,15,10,0.39055772674907363,1.840024706609018,0.033562075516717416,0.16357649549497083,0.20540547139674925,0.11016653428843459,-0.07660445877171718,-0.00019896504676539332,4280.919385163843,0.2718257409913126,0.012490016273037696,2769,2516,1.1005564387917328,4.344167569519683,4.834807073954984,1145,1624,41.35066811123149,0.027952360314427167,-0.01685413498775159,0.0016736501769268786,13905.577267490737,13905.577267490737
19,15,20,-0.14675918503386964,1.840024706609018,-0.015765329164388442,0.15283273876418754,-0.10321812109543396,0.11016653428843459,-0.12593186345282303,-0.000362413981466826,6031.99698364034,0.4176391492050354,-0.6993784608508129,3313,2516,1.316772655007949,3.5695744038635677,4.778181818181818,1380,1933,41.65408994868699,0.022390065993868863,-0.014450717040196548,0.0008949758626136749,8532.408149661303,8532.408149661303
20,15,30,0.12367534741593156,1.840024706609018,0.011743288420906994,0.1561448307998613,0.0753414622645915,0.11016653428843459,-0.0984232458675276,-0.0002620796609932046,7048.951723423075,0.4101089462874594,-0.41121254092611714,3167,2516,1.2587440381558028,3.7142406062519733,4.777822908204712,1262,1905,39.84843700663088,0.025136921615812397,-0.014491814886390108,0.0012996172152137957,11236.753474159315,11236.753474159315
21,15,40,0.11923681850914991,1.840024706609018,0.011342442905400096,0.15247685471510847,0.07445293826072098,0.11016653428843459,-0.0988240913830345,-0.0002520754205744922,4843.2318148491495,0.38581672009547796,-0.3748148529096387,3091,2516,1.228537360890302,3.7806535101908767,4.760081466395112,1252,1839,40.50469103849887,0.02536409836716726,-0.014931472111716878,0.0013901242129557008,11192.3681850915,11192.3681850915
22,15,50,-0.1879970565109148,1.840024706609018,-0.02063494492266338,0.15103642414127166,-0.13688426236665627,0.11016653428843459,-0.13080147921109797,-0.00037249617867923324,6826.809897513065,0.4790619130712003,-0.8603753932001705,3083,2516,1.2253577106518283,3.7713266299059356,4.759312320916905,1256,1827,40.73953940966591,0.02423095269290595,-0.015140348326694949,0.000899338368283556,8120.029434890852,8120.029434890852
23,15,60,-0.25117531889726563,1.840024706609018,-0.028545377455067578,0.15618377982364595,-0.182995579143219,0.11016653428843459,-0.13871191174350217,-0.00041287430244362736,7965.807265411412,0.5310108551270408,-1.0464260495515045,3146,2516,1.2503974562798092,3.672282263191354,4.7504111842105265,1294,1852,41.13159567705022,0.02354878049861693,-0.015214358649965442,0.0007295390163618279,7488.246811027344,7488.246811027344
