,bollinger_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
0,5,10,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
1,5,20,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
2,5,30,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
3,5,40,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
4,5,50,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
5,5,60,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
6,5,70,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
7,5,80,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
8,5,90,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,,,,,10000.0,10000.0
9,10,10,1.3136344387493528,1.840024706609018,0.08761305439251776,0.1749096229329784,0.5023150103806294,0.11016653428843459,-0.022553479895916828,-6.345004839989932e-05,7018.816679629905,0.28604673968169336,0.5018818576987432,1802,2516,0.7162162162162162,6.706437291897891,4.826277955271565,675,1127,37.458379578246394,0.0440709439369909,-0.020526341714430144,0.0036707547421232435,23136.34438749353,23136.34438749353
10,10,20,3.1742608329199413,1.840024706609018,0.1538105616539982,0.18039829272656377,0.8533556854266342,0.11016653428843459,0.04364402736556361,0.00015916644673440058,12022.20771054049,0.2915566016239166,1.084252184200956,1629,2516,0.6474562798092209,7.432780847145488,4.854851643945469,697,932,42.78698588090853,0.044793259247445705,-0.023673730956519354,0.005621230475134205,41742.608329199415,41742.608329199415
11,10,30,1.7982940884655383,1.840024706609018,0.10852237137573129,0.1764077683476672,0.6162820066750411,0.11016653428843459,-0.0016441629127033064,1.519176270189693e-05,9522.364998282854,0.2891116475425647,0.6877700869892784,1478,2516,0.5874403815580286,8.142083897158322,4.85241935483871,667,811,45.12855209742896,0.0422948453918553,-0.025876937063586125,0.004888001297563693,27982.94088465538,27982.94088465538
12,10,40,1.3732210482654454,1.840024706609018,0.09038562928336447,0.17675321665087804,0.5124451187830799,0.11016653428843459,-0.019780905005070126,-4.825814627126151e-05,8060.42727286755,0.27024638343331486,0.5491998111504266,1379,2516,0.5480922098569158,8.704858593183467,4.854023453295593,610,769,44.23495286439449,0.04336967883445146,-0.026761043351475677,0.004261248550928639,23732.210482654456,23732.210482654456
13,10,50,2.2282269117524747,1.840024706609018,0.12449929827809392,0.17593818466032632,0.7092147030167172,0.11016653428843459,0.014332763989659325,8.032894116918844e-05,8376.517928559828,0.22251781522819036,0.9202384941118709,1279,2516,0.5083465818759937,9.358092259577795,4.857548701298701,607,672,47.458952306489444,0.04391471290196869,-0.02847673134611601,0.005879489653561406,32282.269117524746,32282.269117524746
14,10,60,3.106504317019084,1.840024706609018,0.1519215508722498,0.1731037448594518,0.8789793906746537,0.11016653428843459,0.0417550165838152,0.0001819468463396591,9396.565239597774,0.22249013433934528,1.1609131894057594,1216,2516,0.48330683624801274,9.792763157894736,4.856443719412725,576,640,47.368421052631575,0.04653285602230269,-0.028275928420249917,0.007159811578853946,41065.04317019084,41065.04317019084
15,10,70,2.5673850347548863,1.840024706609018,0.1358033202063671,0.1746314456133266,0.7787567582198639,0.11016653428843459,0.025636785917932503,0.0001264136061932934,10042.111439128086,0.2583832201088726,0.9729102057523633,1179,2516,0.46860095389507156,10.06955046649703,4.855623721881391,554,625,46.988973706530956,0.04515855150748747,-0.026995893897539692,0.006908739481921755,35673.85034754886,35673.85034754886
16,10,80,2.4206896415144525,1.840024706609018,0.1310381474670841,0.1757109199290392,0.7468624325353097,0.11016653428843459,0.020871613178649495,0.00010416131919513904,9985.271682648628,0.24119103908294426,0.9538369486472362,1106,2516,0.4395866454689984,10.705244122965642,4.868421052631579,534,572,48.282097649186255,0.04526081494040975,-0.02877425950219318,0.006971427434832106,34206.896415144525,34206.896415144525
17,10,90,2.5055215197597893,1.840024706609018,0.13381568815546951,0.17660583855358788,0.7586595807488776,0.11016653428843459,0.023649153867034922,0.00012272720284775958,12191.34767395995,0.27864319648261016,0.9277179115126053,1095,2516,0.435214626391097,10.770776255707762,4.865511551155116,514,581,46.94063926940639,0.04732822961381454,-0.0284543255788744,0.007118490283264519,35055.21519759789,35055.21519759789
18,15,10,1.5130863393145413,1.840024706609018,0.09665521610367223,0.17799910216194362,0.5439330361884867,0.11016653428843459,-0.013511318184762366,-3.500335138167243e-05,7267.523199503597,0.25582016510009653,0.6260390552583956,1784,2516,0.7090620031796503,6.724775784753363,4.796881247500999,624,1160,34.97757847533632,0.05046508562437569,-0.021050055173186318,0.003964209321028195,25130.863393145413,25130.863393145413
19,15,20,2.8570939774187156,1.840024706609018,0.14471754780702728,0.1824324184477848,0.7946680678677079,0.11016653428843459,0.03455101351859269,0.00012546774573495516,11410.833082147306,0.27660741551484125,1.026110833911913,1865,2516,0.7412559618441972,6.438605898123324,4.814755412991179,775,1090,41.55495978552279,0.04296220991672057,-0.02217669759396037,0.004891749226831979,38570.93977418716,38570.93977418716
20,15,30,3.192353961792718,1.840024706609018,0.154310318229822,0.18149466360806174,0.8511345192337733,0.11016653428843459,0.044143783941387404,0.00016392892221390423,12926.368264110057,0.29697620240014844,1.0808978446536184,1652,2516,0.6565977742448331,7.238498789346247,4.819830713422007,730,922,44.18886198547216,0.04358671775059348,-0.02425523947818931,0.005723349369880567,41923.53961792718,41923.53961792718
21,15,40,1.8827538400105355,1.840024706609018,0.1118276636308273,0.18236123528540918,0.6143853086661335,0.11016653428843459,0.0016611293423927087,1.31744680759528e-05,8678.33998456239,0.2987324773370672,0.7038801970304647,1442,2516,0.5731319554848967,8.287101248266296,4.828282828282828,637,805,44.1747572815534,0.045562190838276534,-0.027030502974770082,0.005037143321284489,28827.538400105354,28827.538400105354
22,15,50,2.379253243235298,1.840024706609018,0.12965884406680295,0.17949010129639464,0.7235527078367938,0.11016653428843459,0.019492309778368355,8.876260127108163e-05,11209.328830350816,0.3278001400884437,0.8204551790372978,1389,2516,0.5520667726550079,8.570914326853853,4.829614604462475,606,783,43.628509719222464,0.04843873911559202,-0.027008431890159168,0.005908044444963381,33792.53243235298,33792.53243235298
23,15,60,2.493862902240483,1.840024706609018,0.13343757391311684,0.1784075163038333,0.7489193283910278,0.11016653428843459,0.023271039624682244,0.00010715241891405189,9921.394461740689,0.2878950082185945,0.9114780548141326,1276,2516,0.5071542130365659,9.293103448275861,4.83605220228385,584,692,45.76802507836991,0.0468013143612694,-0.027672228352584233,0.006412841353442823,34938.62902240483,34938.62902240483
24,15,70,3.619667516854914,1.840024706609018,0.16558259901633288,0.1762221952134975,0.9403612023285824,0.11016653428843459,0.055416064727898284,0.00022060766246126114,14556.104391672561,0.2977754417728554,1.1768206938615489,1267,2516,0.503577106518283,9.30939226519337,4.824130879345604,583,684,46.01420678768745,0.04718872316750959,-0.02680769762679371,0.007241168452984368,46196.67516854914,46196.67516854914
25,15,80,3.366468117246715,1.840024706609018,0.1590228357716723,0.1777568731240896,0.8951584379171561,0.11016653428843459,0.04885630148323772,0.00019967704412273584,12981.049428841645,0.26967539314943223,1.1596882944162719,1193,2516,0.4741653418124006,9.815590947191954,4.809034907597536,547,646,45.85079631181894,0.049777571396918255,-0.028105101239271114,0.007604724353348822,43664.68117246715,43664.68117246715
26,15,90,2.684424220691243,1.840024706609018,0.13948031650467008,0.17855951569152928,0.7820158966947813,0.11016653428843459,0.029313782216235484,0.00013608214942901868,12544.393551114841,0.30215710807377505,0.9443529792048349,1131,2516,0.4495230524642289,10.34659593280283,4.827557755775578,528,603,46.684350132625994,0.04932736846547271,-0.030087326113293986,0.006986907960613017,36844.24220691243,36844.24220691243
27,20,10,2.0596823752354743,1.840024706609018,0.11847825520326438,0.1816634607076872,0.6532701415961178,0.11016653428843459,0.00831172091482979,3.3615021166362793e-05,8895.893700113622,0.27230450408549556,0.8004385185046612,1609,2516,0.6395071542130366,7.443753884400248,4.800400801603207,585,1024,36.357986326911124,0.0523709777935069,-0.02188957412710133,0.005110067186482144,30596.823752354743,30596.823752354743
28,20,20,2.9758612817569556,1.840024706609018,0.14819873838010622,0.17928149253703168,0.8273814106465419,0.11016653428843459,0.03803220409167163,0.00014659319142991167,10594.826596582861,0.30033977221743513,1.0230809486314687,1835,2516,0.7293322734499205,6.559128065395095,4.82598235765838,711,1124,38.746594005449595,0.04524797228384294,-0.02021631329159235,0.005148867658889658,39758.612817569556,39758.612817569556
29,20,30,2.430825746307213,1.840024706609018,0.13137326082929546,0.18617805817046698,0.7069002495157024,0.11016653428843459,0.021206726540860865,7.872848230686163e-05,11653.809908490293,0.31262555581932316,0.8579248818016971,1604,2516,0.6375198728139905,7.456359102244389,4.8206368399838775,663,941,41.33416458852868,0.04676565012745064,-0.024063519600551326,0.005213125991509341,34308.25746307213,34308.25746307213
30,20,40,1.1972778885337485,1.840024706609018,0.08200849838751112,0.18533365374542307,0.44311121423306477,0.11016653428843459,-0.028158035900923473,-0.00010243186060606145,6454.671358853471,0.3101679837300808,0.41591210514189747,1442,2516,0.5731319554848967,8.30374479889043,4.841892438334007,597,845,41.40083217753121,0.04792404733756805,-0.026789034381344636,0.004142803195764153,21972.778885337484,21972.778885337484
31,20,50,2.2575251918179307,1.840024706609018,0.12551696543258717,0.18096407643173928,0.6940774625475807,0.11016653428843459,0.015350431144152576,6.834085755198592e-05,7046.018016246002,0.2416739293118344,0.9043259500434928,1337,2516,0.5313990461049285,8.893792071802544,4.823935091277891,575,762,43.00673148840688,0.04894460186876196,-0.02668472986211325,0.005840973761860759,32575.251918179307,32575.251918179307
