,signal_n,preference_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
0,5,10,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
1,5,15,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
2,5,20,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
3,5,25,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
4,5,30,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
5,5,35,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
6,5,40,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
7,5,45,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
8,5,50,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
9,5,55,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
10,5,60,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
11,5,65,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
12,5,70,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
13,5,75,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
14,5,80,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
15,5,85,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
16,5,90,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
17,5,95,0.0,1.840024706609018,0.0,0.0,,0.11016653428843459,-0.11016653428843459,0.0,0.0,-0.0,0.0,0,2516,0.0,,,0,0,0.0,,,,10000.0,10000.0
18,10,10,1.5768850636894638,1.840024706609018,0.09941134842848198,0.17437529826721468,0.5716512301450415,0.11016653428843459,-0.01075518585995261,-1.9094070267919186e-05,7527.51428513322,0.2798862768393674,0.618235199246163,1802,2516,0.7162162162162162,6.706437291897891,4.826277955271565,675,1127,0.3745837957824639,0.0440709439369909,-0.020526341714430144,0.0036707547421232435,25768.850636894636,25768.850636894636
19,10,15,3.104907031326844,1.840024706609018,0.15187668205370586,0.17721726363948379,0.8581072467763181,0.11016653428843459,0.041710147765271266,0.00016547919056445235,12449.775307254968,0.2718212567456125,1.0949743605070967,1763,2516,0.7007154213036566,6.885422575155984,4.8556,727,1036,0.41236528644356213,0.04369614673346888,-0.021698363586231423,0.005268062393588272,41049.07031326844,41049.07031326844
20,10,20,3.4919175593782947,1.840024706609018,0.1623145077244248,0.1800501404009651,0.9022179679010783,0.11016653428843459,0.0521479734359902,0.00018934386700576527,12825.047586742403,0.29057191356880474,1.158983538327801,1629,2516,0.6474562798092209,7.432780847145488,4.854851643945469,697,932,0.42786985880908535,0.044793259247445705,-0.023673730956519354,0.005621230475134205,44919.175593782944,44919.175593782944
21,10,25,2.0920524661681217,1.840024706609018,0.119657413424338,0.17859101716690268,0.6712923407591176,0.11016653428843459,0.009490879135903407,4.865245636351392e-05,11030.023714294013,0.3079846938194042,0.7606878940898945,1547,2516,0.6148648648648649,7.809308338720103,4.8576598311218335,664,883,0.42921784098254684,0.044277317668685326,-0.02493296699097161,0.004773321964433822,30920.524661681215,30920.524661681215
